"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"";"VZBA-1 typu T z si³ownikiem";"jeœl nie ma FESTO to METALWORK";"4";"";"FESTO"
"2";"2556-720.00ZZ";"Separator negatyw";"";"2";"";""
"3";"2556-720.04ZZ";"Zespó³ lusterka";"";"2";"";""
"4";"2621-100.00ZZ";"Kabina";"";"1";"";""
"5";"2621-200.00ZZ";"Okapnik";"";"1";"";""
"6";"2621-300.00ZZ";"Belka nalewaków";"";"1";"";""
"7";"2621-300.06";"Kostka nalewaka";"";"4";"Ertalon";""
"8";"2621-300.07";"Sworzeñ nalewaka";"";"4";"304";""
"9";"2621-300.08";"Docisk nalewaka";"";"8";"POM-C";""
"10";"2621-300.09XX";"Oklapka";"";"4";"304";""
"11";"2621-860.00Z";"Nalewak 18";"";"4";"";""
"12";"2621-860.09";"Kolanko DN20";"";"4";"";""
"13";"2621-860.10";"Króciec DN20";"";"4";"316";""
"14";"2621-860.11";"Kolano DN25";"";"4";"";""
"15";"2621-860.12";"Króciec DN25";"";"4";"316";""
"16";"2621-860.16Z";"Z³¹cze zaworu";"";"8";"";""
"17";"2621-860.18Z";"Z³¹cze cylindra";"";"4";"";""
"18";"2621-860.19";"Cylinder 1000 ml";"";"4";"316/316L";""
"19";"2621-860.24ZZ";"Zespó³ t³oka";"";"4";"";""
"20";"2621-860.30ZZ";"Baza cylindrów";"";"1";"";""
"21";"2621-860.36ZZ";"Oprawa kolektora";"";"2";"";""
"22";"2621-860.39Z";"Kolektor DN50";"";"1";"";""
"23";"2621-860.40";"Kolano DN50 CHROMOSTAL";"";"1";"";""
"24";"2621-860.46ZZ";"Zespó³ podnoszenia";"";"4";"";""
