"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"";"6002ZZ";"";"5";"Stal, miêkka";""
"2";"";"5M L2525 szer25";"otwarty, ciêty z metra";"2";"";""
"3";"";"WS-20 L1470";"";"2";"Ogólny";""
"4";"";"GS28 20/20";"";"1";"";""
"5";"";"RCK61-18x35";"";"4";"Ogólny";""
"6";"";"5M L3669 szer25";"zgrzewany";"1";"";""
"7";"";"UCP-204";"";"6";"304";""
"8";"";"RCK13-22x47";"";"1";"Ogólny";""
"9";"";"UCFL201";"";"8";"304";""
"10";"";"KFL 001";"";"1";"";""
"11";"";"AT10 L560 szer32";"";"1";"";""
"12";"";"UCFL 201";"";"4";"304";""
"13";"";"GS19 20/20";"";"4";"";""
"14";"";"WSQ-10-80 1210";"";"2";"";""
"15";"";"T5 L1440 szer25";"";"2";"";""
"16";"";"T5 L1160 szer25";"";"2";"";""
"17";"";"6005ZZ";"";"16";"";""
"18";"";"GS19 19/20";"";"4";"";""
"19";"";"GS19 20/12";"";"4";"";""
"20";"";"KFL 004";"";"4";"";""
"21";"";"5M L850 szer25";"";"1";"";""
"22";"";"PZ 20 x 28 x 5/7 ";"";"4";"PU";""
"23";"";"19x32x7 simmering";"simmering";"4";"VITON";""
"24";"";"GS29 22/20";"";"1";"";""
"25";"2621-100.01";"Rama sama";"";"1";"304";""
"26";"2621-100.02";"Os³ony";"";"4";"Poliwêglan ";""
"27";"2621-100.03";"Ramki dzwi";"";"4";"304";""
"28";"2621-100.04XX";"Pokrywa suwaka prawa";"";"1";"304";""
"29";"2621-100.06XX";"Zaœlepka pokrywy prawa";"";"1";"304";""
"30";"2621-100.08X";"Listwa prowadnicy";"";"2";"304";""
"31";"2621-100.11Z";"Napinacz pasa";"";"2";"";""
"32";"2621-100.12";"Œruba podajnika";"";"2";"Stal, miêkka";""
"33";"2621-100.13XX";"Wanna górna";"";"1";"304";""
"34";"2621-100.16Z";"Wanna pospawana";"";"1";"";""
"35";"2621-100.17";"Pokrywa boczna";"";"1";"304";""
"36";"2621-100.18X";"Boczna blacha";"";"1";"304";""
"37";"2621-100.19XX";"Pokrywa ma³a";"";"1";"304";""
"38";"2621-100.20XX";"Pokrywa du¿a";"";"1";"304";""
"39";"2621-100.21XX";"Listwa zaœlepiaj¹ca";"";"1";"304";""
"40";"2621-100.22X";"Os³onka przedzia³owa";"";"1";"304";""
