"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"";"WJ200UME-01-20";"";"4";"";""
"2";"";"DFM-20-40-P-A-GF";"DFM - Guide cylinder";"2";"";""
"3";"";"DHPL-20-40-P-A";"";"2";"";""
"4";"";"0002679 Cap 8 40x16";"";"4";"";"ITEM"
"5";"2621-200.03Z";"Belka okapnika";"";"1";"";""
"6";"2621-200.04";"ITEM";"";"2";"PA6";""
"7";"2621-200.05";"Nakrêtka okapnika";"B";"2";"Mosi¹dz, miêkki ¿ó³ty";""
"8";"2621-200.06XX";"Listwa centruj¹ca";"";"1";"304";""
"9";"2621-200.07XX";"Os³ona kablowa";"";"1";"304";""
"10";"2621-200.08XX";"Uchwyt krokodyla i czujników";"";"1";"304";""
"11";"2621-200.09X";"P³ytka chwytaka";"";"2";"304";""
"12";"2621-200.10X";"Przek³adka chwytaka";"";"4";"304";""
"13";"2621-200.11XX";"£apka chwytaka";"";"4";"304";""
"14";"2621-200.12XX";"Uchwyt si³ownika";"";"2";"304";""
"15";"2621-200.13XX";"Uchwyt rynny";"";"2";"304";""
"16";"2621-200.21Z";"Okapnik";"";"1";"";""
"17";"2621-200.23ZZ";"Blok centruj¹cy";"";"4";"";""
