"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"";"oring 7x1,5";"";"1";"VITON";""
"2";"";"oring 20x3";"";"1";"VITON";""
"3";"";"S01-R 12x20x8";"";"1";"PTFE";""
"4";"";"DSNU-20-20 PPVA";"";"1";"";""
"5";"";"GN 113.4-6-20 ";"";"1";"";""
"8";"2621-860.05Z";"Koñcówka 18";"";"1";"";""
"9";"2621-860.08Z";"Suwak 18";"";"1";"";""
"10";"NS-900.02X ";"Tuleja nalewaka";"B";"1";"316";""
"11";"NS-900.03";"£¹cznik suwaka";"B";"1";"316";""
"12";"NS-900.04";"Trójnik nalewaka DN25";"B";"1";"316";""
"13";"NS-900.29";"Prowadnik z uszczelniaczem";"B";"1";"PTFE";""
"14";"NS-900.30";"Podk³adka uszczelniacza";"B";"1";"316";""
