kategoria;kod;plik;sciezka;projekt
IGUS (tuleje/prowadnice ślizgowe);IGUS;wałek igus.ipt;C:\projekty\2111 Zakręcarka AGAPIT chwytak\wałek igus.ipt;2111 Zakręcarka AGAPIT chwytak
IGUS (tuleje/prowadnice ślizgowe);LBN-12_16;_6058 LBN-12_16---(L).ipt;C:\projekty\2325 Dekorum lakiery\_6058 LBN-12_16---(L).ipt;2325 Dekorum lakiery
IGUS (tuleje/prowadnice ślizgowe);LBN-20_25;_6059 LBN-20_25---(L).ipt;C:\projekty\2134 Swetworld Dekle\_6059 LBN-20_25---(L).ipt;2134 Swetworld Dekle
Pneumatyka (Festo — zawory/złączki);QS-1;_190649 QS-1_4-12-I---(VTUG).ipt;C:\projekty\2110 Nalewarka AGAPIT masowe\_190649 QS-1_4-12-I---(VTUG).ipt;2110 Nalewarka AGAPIT masowe
Pneumatyka (Festo — zawory/złączki);QS-6;193158_GRLZ-1_8-QS-6-D.ipt;C:\projekty\2135 PUREICE pakowaczka nr2\193158_GRLZ-1_8-QS-6-D.ipt;2135 PUREICE pakowaczka nr2
Pneumatyka (Festo — zawory/złączki);QS-G1;_186107 QS-G1_8-6-I---(VTUG).ipt;C:\projekty\2110 Nalewarka AGAPIT masowe\_186107 QS-G1_8-6-I---(VTUG).ipt;2110 Nalewarka AGAPIT masowe
Pneumatyka (Festo — zawory/złączki);VUVG-B14-M52-MZT-F-1T1L---(V_G18);573483 VUVG-B14-M52-MZT-F-1T1L---(V_G18).ipt;C:\projekty\2203 ProszkiI Holandia\573483 VUVG-B14-M52-MZT-F-1T1L---(V_G18).ipt;2203 ProszkiI Holandia
Pneumatyka (Festo — zawory/złączki);VUVG-B14-T32C-AZT-F-1T1L---(V_G18);573476 VUVG-B14-T32C-AZT-F-1T1L---(V_G18).ipt;C:\projekty\2203 ProszkiI Holandia\573476 VUVG-B14-T32C-AZT-F-1T1L---(V_G18).ipt;2203 ProszkiI Holandia
Pneumatyka (Festo — zawory/złączki);VUVG-S14-B52-ZT-G18-1T1L---(V_G18);HI_573472 VUVG-S14-B52-ZT-G18-1T1L---(V_G18).ipt;C:\projekty\2110 Nalewarka AGAPIT masowe\HI_573472 VUVG-S14-B52-ZT-G18-1T1L---(V_G18).ipt;2110 Nalewarka AGAPIT masowe
Pneumatyka (Festo — zawory/złączki);VUVG-S14-M52-MZT-G18-1T1L---(V_G18);HI_573471 VUVG-S14-M52-MZT-G18-1T1L---(V_G18).ipt;C:\projekty\2110 Nalewarka AGAPIT masowe\HI_573471 VUVG-S14-M52-MZT-G18-1T1L---(V_G18).ipt;2110 Nalewarka AGAPIT masowe
Siłownik pneumatyczny (Festo);ADN-10-P---(Z);_536233 ADN-10-P---(Z).ipt;C:\projekty\2028 AGAPIT Nalewarka\_536233 ADN-10-P---(Z).ipt;2028 AGAPIT Nalewarka
Siłownik pneumatyczny (Festo);ADN-10-P-A-S20_(KS);_536218 ADN-10-P-A-S20_(KS).ipt;C:\projekty\2129 Strzykawki\Importowane komponenty\536218_ADN-16-10-A-P-A-S20\_536218 ADN-10-P-A-S20_(KS).ipt;2129 Strzykawki
Siłownik pneumatyczny (Festo);ADN-10-P-A_(KS);_536233 ADN-10-P-A_(KS).ipt;C:\projekty\2028 AGAPIT Nalewarka\_536233 ADN-10-P-A_(KS).ipt;2028 AGAPIT Nalewarka
